S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price,Nett Price ($),Area in Sqft,Type of Area,Floor Level,Unit Price in dollar psf,Date of Sale
1,THE CREST,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 years leasehold,New Sale,1,2060000,-,1216,Strata,06 to 10,1694,Sep-15
2,WATERFRONT@FABER,FABER WALK,Apartment,5,OCR,99 years leasehold,New Sale,1,1589560,-,1292,Strata,01 to 05,1231,Sep-15
3,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,2319900,-,1292,Strata,06 to 10,1796,Sep-15
4,THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 years leasehold,New Sale,1,1676000,-,1356,Strata,26 to 30,1236,Sep-15
5,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,2056800,-,1152,Strata,06 to 10,1786,Sep-15
6,THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 yrs lease commencing from 2002,Resale,1,1200000,-,614,Strata,56 to 60,1956,Sep-15
7,ICON,GOPENG STREET,Apartment,2,CCR,99 yrs lease commencing from 2002,Resale,1,1650000,-,936,Strata,41 to 45,1762,Sep-15
8,THE INTERLACE,DEPOT ROAD,Condominium,4,RCR,99 yrs lease commencing from 2009,Resale,1,2497000,-,2056,Strata,01 to 05,1215,Sep-15
9,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,4,RCR,99 years leasehold,New Sale,1,2450000,2350000,1259,Strata,01 to 05,1866,Sep-15
10,PARC IMPERIAL,PASIR PANJANG ROAD,Condominium,5,RCR,Freehold,Resale,1,660000,-,398,Strata,01 to 05,1657,Sep-15
11,WATERFRONT@FABER,FABER WALK,Apartment,5,OCR,99 years leasehold,New Sale,1,1314000,-,1066,Strata,01 to 05,1233,Sep-15
12,V ON SHENTON,SHENTON WAY,Apartment,1,CCR,99 years leasehold,New Sale,1,3100000,-,1528,Strata,46 to 50,2028,Sep-15
13,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,2014900,-,1152,Strata,01 to 05,1749,Sep-15
14,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1713400,-,915,Strata,16 to 20,1873,Sep-15
15,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1066400,-,506,Strata,21 to 25,2108,Sep-15
16,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,2257200,-,1292,Strata,06 to 10,1747,Sep-15
17,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,2378600,-,1292,Strata,11 to 15,1841,Sep-15
18,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1319000,-,700,Strata,11 to 15,1885,Sep-15
19,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1066400,-,506,Strata,21 to 25,2108,Sep-15
20,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1004000,-,506,Strata,11 to 15,1985,Sep-15
21,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1393200,-,667,Strata,26 to 30,2088,Sep-15
22,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1344600,-,667,Strata,21 to 25,2015,Sep-15
23,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1385100,-,667,Strata,26 to 30,2075,Sep-15
24,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1699000,-,915,Strata,16 to 20,1857,Sep-15
25,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1733900,-,915,Strata,16 to 20,1895,Sep-15
26,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1671300,-,915,Strata,11 to 15,1827,Sep-15
27,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1277800,-,700,Strata,11 to 15,1826,Sep-15
28,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1254000,-,700,Strata,06 to 10,1792,Sep-15
29,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1270100,-,700,Strata,11 to 15,1815,Sep-15
30,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1598900,-,915,Strata,11 to 15,1748,Sep-15
31,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,1059300,-,506,Strata,21 to 25,2094,Sep-15
32,THE ORIENT,PASIR PANJANG ROAD,Apartment,5,RCR,Freehold,New Sale,1,1100000,-,592,Strata,01 to 05,1858,Sep-15
33,WATERFRONT@FABER,FABER WALK,Apartment,5,OCR,99 years leasehold,New Sale,1,1603000,-,1259,Strata,01 to 05,1273,Sep-15
34,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years leasehold,New Sale,1,2103300,-,1152,Strata,11 to 15,1826,Sep-15
35,THE CREST,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 years leasehold,New Sale,1,1285000,-,743,Strata,11 to 15,1730,Sep-15
36,TURQUOISE,COVE DRIVE,Condominium,4,CCR,99 yrs lease commencing from 2007,Resale,1,3700000,-,2185,Strata,01 to 05,1693,Sep-15
37,SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,Apartment,2,RCR,99 yrs lease commencing from 1976,Resale,1,938000,-,1270,Strata,06 to 10,738,Sep-15
38,THE PEARL @ MOUNT FABER,MOUNT FABER ROAD,Condominium,4,RCR,99 yrs lease commencing from 2002,Resale,1,1610000,-,1389,Strata,06 to 10,1159,Sep-15
39,SKYLINE RESIDENCES,TELOK BLANGAH ROAD,Condominium,4,RCR,Freehold,New Sale,1,1800000,-,829,Strata,16 to 20,2172,Sep-15
40,THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 years leasehold,New Sale,1,1226000,-,915,Strata,06 to 10,1340,Sep-15
41,CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,Condominium,5,OCR,99 yrs lease commencing from 2006,Resale,1,2850000,-,2799,Strata,01 to 05,1018,Sep-15
42,THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 yrs lease commencing from 2002,Resale,1,2130000,-,936,Strata,16 to 20,2275,Sep-15
43,PEOPLE'S PARK COMPLEX,PARK ROAD,Apartment,1,RCR,99 yrs lease commencing from 1968,Resale,1,508000,-,409,Strata,16 to 20,1242,Sep-15
44,V ON SHENTON,SHENTON WAY,Apartment,1,CCR,99 years leasehold,New Sale,1,1475100,-,506,Strata,46 to 50,2916,Sep-15
45,VISIONCREST,OXLEY RISE,Apartment,9,CCR,Freehold,Resale,1,2350000,-,1195,Strata,06 to 10,1967,Sep-15
46,RIVERGATE,ROBERTSON QUAY,Apartment,9,CCR,Freehold,Resale,1,2190000,-,1055,Strata,16 to 20,2076,Sep-15
47,SPRING GROVE,GRANGE ROAD,Condominium,10,CCR,99 yrs lease commencing from 1991,Resale,1,1500000,-,1012,Strata,11 to 15,1482,Sep-15
48,TOWNHOUSE APARTMENTS,CAVENAGH ROAD,Apartment,9,CCR,99 yrs lease commencing from 1977,Resale,1,2100000,-,2142,Strata,06 to 10,980,Sep-15
49,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 years leasehold,New Sale,1,1726000,-,861,Strata,01 to 05,2004,Sep-15
50,POLLEN & BLEU,FARRER DRIVE,Condominium,10,CCR,99 years leasehold,New Sale,1,3050000,-,1593,Strata,01 to 05,1915,Sep-15
51,THE METZ,DEVONSHIRE ROAD,Condominium,9,CCR,Freehold,Resale,1,3100000,-,1496,Strata,01 to 05,2072,Sep-15
52,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,CCR,99 years leasehold,New Sale,1,1640000,-,980,Strata,01 to 05,1674,Sep-15
53,QUINTERRA,HOLLAND ROAD,Apartment,10,CCR,99 yrs lease commencing from 2006,Resale,1,2300000,-,1787,Strata,11 to 15,1287,Sep-15
54,CITY GATE,BEACH ROAD,Apartment,7,RCR,99 years leasehold,New Sale,1,1464000,-,807,Strata,16 to 20,1813,Sep-15
55,CITY GATE,BEACH ROAD,Apartment,7,RCR,99 years leasehold,New Sale,1,1420000,-,753,Strata,21 to 25,1885,Sep-15
56,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,New Sale,1,4980000,-,2497,Strata,11 to 15,1994,Sep-15
57,SOPHIA HILLS,MOUNT SOPHIA,Condominium,9,CCR,99 years leasehold,New Sale,1,1322000,-,710,Strata,01 to 05,1861,Sep-15
58,VANADIUM,HERTFORD ROAD,Apartment,8,RCR,Freehold,Resale,1,1350000,-,1066,Strata,01 to 05,1267,Sep-15
59,NASSIM PARK RESIDENCES,NASSIM ROAD,Condominium,10,CCR,Freehold,Resale,1,13500000,-,3477,Strata,01 to 05,3883,Sep-15
60,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,New Sale,1,4758750,-,2669,Strata,01 to 05,1783,Sep-15
61,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,New Sale,1,4691520,-,2659,Strata,06 to 10,1765,Sep-15
62,SOPHIA HILLS,MOUNT SOPHIA,Condominium,9,CCR,99 years leasehold,New Sale,1,1496000,-,700,Strata,01 to 05,2138,Sep-15
63,SEVENTY SAINT PATRICK'S,ST. PATRICKS ROAD,Condominium,15,OCR,Freehold,New Sale,1,1889910,-,1184,Strata,01 to 05,1596,Sep-15
64,8M RESIDENCES,MARGATE ROAD,Apartment,15,RCR,Freehold,New Sale,1,1630000,-,893,Strata,11 to 15,1824,Sep-15
65,SANT RITZ,PHENG GECK AVENUE,Condominium,13,RCR,99 years leasehold,New Sale,1,1199504,-,1238,Strata,01 to 05,969,Sep-15
66,SANT RITZ,PHENG GECK AVENUE,Condominium,13,RCR,99 years leasehold,New Sale,1,1185253,-,1227,Strata,01 to 05,966,Sep-15
67,TREASURES @ G20,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,546000,-,420,Strata,06 to 10,1301,Sep-15
68,NIN RESIDENCE,PHENG GECK AVENUE,Apartment,13,RCR,99 yrs lease commencing from 2010,Sub Sale,1,1190000,-,893,Strata,01 to 05,1332,Sep-15
69,SANT RITZ,PHENG GECK AVENUE,Condominium,13,RCR,99 years leasehold,New Sale,1,1388420,-,1098,Strata,06 to 10,1265,Sep-15
70,E MAISON,BRADDELL ROAD,Apartment,13,OCR,Freehold,New Sale,1,1121328,-,936,Strata,01 to 05,1197,Sep-15
71,AMARYLLIS VILLE,NEWTON ROAD,Condominium,11,CCR,99 yrs lease commencing from 1997,Resale,1,1880000,-,1259,Strata,21 to 25,1493,Sep-15
72,TROPIKA EAST,FOO KIM LIN ROAD,Apartment,14,OCR,Freehold,New Sale,1,960000,-,818,Strata,01 to 05,1174,Sep-15
73,8M RESIDENCES,MARGATE ROAD,Apartment,15,RCR,Freehold,New Sale,1,1650000,-,893,Strata,11 to 15,1847,Sep-15
74,8M RESIDENCES,MARGATE ROAD,Apartment,15,RCR,Freehold,New Sale,1,1597260,-,893,Strata,06 to 10,1788,Sep-15
75,SANT RITZ,PHENG GECK AVENUE,Condominium,13,RCR,99 years leasehold,New Sale,1,1171086,-,1238,Strata,01 to 05,946,Sep-15
76,REZI 3TWO,LORONG 32 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,705000,-,452,Strata,01 to 05,1559,Sep-15
77,ST PATRICK'S RESIDENCES,ST. PATRICK'S ROAD,Apartment,15,OCR,Freehold,Resale,1,3588000,-,3165,Strata,B1 to B5,1134,Sep-15
78,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,726937,-,603,Strata,06 to 10,1206,Sep-15
79,THE SEAFRONT ON MEYER,MEYER ROAD,Condominium,15,RCR,Freehold,Resale,1,1710000,-,1066,Strata,21 to 25,1605,Sep-15
80,ZEDGE,AKYAB ROAD,Apartment,11,CCR,Freehold,Resale,1,1660000,-,1302,Strata,16 to 20,1275,Sep-15
81,M21,MANDALAY ROAD,Apartment,11,CCR,Freehold,Resale,1,2460000,-,1755,Strata,06 to 10,1402,Sep-15
82,PEBBLE BAY,TANJONG RHU ROAD,Condominium,15,RCR,99 yrs lease commencing from 1994,Resale,1,3300000,-,2756,Strata,01 to 05,1198,Sep-15
83,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 years leasehold,New Sale,1,672000,-,441,Strata,11 to 15,1523,Sep-15
84,HILLCREST ARCADIA,ARCADIA ROAD,Condominium,11,CCR,99 yrs lease commencing from 1975,Resale,1,1630000,-,1711,Strata,01 to 05,952,Sep-15
85,CENTRA HEIGHTS,SIMS AVENUE,Apartment,14,RCR,Freehold,Resale,1,610000,-,409,Strata,01 to 05,1491,Sep-15
86,RIVERBAY,MAR THOMA ROAD,Apartment,12,RCR,999 yrs lease commencing from 1882,Resale,1,790000,-,517,Strata,21 to 25,1529,Sep-15
87,BELLA VISTA,SOMMERVILLE ROAD,Apartment,13,OCR,Freehold,Resale,1,878000,-,797,Strata,01 to 05,1102,Sep-15
88,CHANCERY PARK,CHANCERY LANE,Condominium,11,CCR,Freehold,Resale,1,3420000,-,2347,Strata,01 to 05,1457,Sep-15
89,THOMSON 800,THOMSON ROAD,Condominium,11,CCR,Freehold,Resale,1,1500000,-,1432,Strata,01 to 05,1048,Sep-15
90,HAIG COURT,HAIG ROAD,Condominium,15,RCR,Freehold,Resale,1,1700000,-,1453,Strata,06 to 10,1170,Sep-15
91,EAST SIGNATURE,ELLIOT WALK,Apartment,15,OCR,Freehold,Resale,1,1188000,-,1012,Strata,01 to 05,1174,Sep-15
92,FERNWOOD TOWERS,FERNWOOD TERRACE,Condominium,15,OCR,Freehold,Resale,1,2300000,-,2497,Strata,11 to 15,921,Sep-15
93,THE HACIENDA,HACIENDA GROVE,Condominium,15,OCR,Freehold,Resale,1,2196000,-,2196,Strata,01 to 05,1000,Sep-15
94,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,729436,-,624,Strata,01 to 05,1168,Sep-15
95,REGAL COURT,KIM KEAT ROAD,Apartment,12,RCR,Freehold,Resale,1,960000,-,915,Strata,06 to 10,1049,Sep-15
96,SINGA HILLS,JALAN SINGA,Apartment,14,OCR,Freehold,New Sale,1,702810,-,463,Strata,01 to 05,1518,Sep-15
97,KALLANG RIVERSIDE,KAMPONG BUGIS,Apartment,12,RCR,Freehold,New Sale,1,1980710,-,958,Strata,06 to 10,2068,Sep-15
98,38 I SUITES,IPOH LANE,Apartment,15,RCR,Freehold,Resale,1,730000,-,495,Strata,06 to 10,1474,Sep-15
99,WING FONG MANSIONS,LORONG 14 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,820000,-,1141,Strata,06 to 10,719,Sep-15
100,PAVILION 11,AKYAB ROAD,Condominium,11,CCR,Freehold,Resale,1,2200000,-,1485,Strata,06 to 10,1481,Sep-15
101,TREVISTA,LORONG 3 TOA PAYOH,Condominium,12,RCR,99 yrs lease commencing from 2008,Resale,1,2150000,-,1701,Strata,06 to 10,1264,Sep-15
102,368 THOMSON,THOMSON ROAD,Condominium,11,CCR,Freehold,Resale,1,2650000,-,1722,Strata,21 to 25,1539,Sep-15
103,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 years leasehold,New Sale,1,1271250,-,1130,Strata,01 to 05,1125,Sep-15
104,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 years leasehold,New Sale,1,1348776,-,1141,Strata,01 to 05,1182,Sep-15
105,COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 years leasehold,New Sale,1,977600,-,904,Strata,11 to 15,1081,Sep-15
106,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,822000,-,657,Strata,06 to 10,1252,Sep-15
107,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,671000,-,495,Strata,11 to 15,1355,Sep-15
108,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,667000,-,517,Strata,06 to 10,1291,Sep-15
109,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,941000,-,721,Strata,11 to 15,1305,Sep-15
110,THE GLADES,BEDOK RISE,Condominium,16,OCR,99 years leasehold,New Sale,1,747000,-,506,Strata,06 to 10,1477,Sep-15
111,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 years leasehold,New Sale,1,1550000,-,1367,Strata,01 to 05,1134,Sep-15
112,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 years leasehold,New Sale,1,1570000,-,1647,Strata,01 to 05,953,Sep-15
113,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 years leasehold,New Sale,1,1559160,-,1335,Strata,01 to 05,1168,Sep-15
